Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
foGKTxznK0M,TIKTOK MAROC | يا ربي نكون غا كنحلم,"Jun 5, 2021",549,59.79,0:05:28,,501174,45697.7469,4211,5641122,6.06
aDu-xQHsr3c,من 0 إلى أساطير سباق الدراجات بسبب هاد الطريقة,"Jan 3, 2023",479,52.89,0:04:19,,307223,22147.7747,374,4287229,4.82
oRN8DFCzwRA,TOILETTE MOTANA9IL,"Jun 24, 2020",601,38.41,0:03:50,,277622,17799.9811,922,2512751,7.51
CT3-UFe3YeI,القانون الوحيد فدارنا: ما نهضرش مع الأم ديالي… حتى خالفتو💀,"Mar 8, 2026",824,56.06,0:07:41,,531466,68191.0573,2152,6608404,5.47
He3oFMPW3dg,MY NEW STUDIO,"May 29, 2022",377,62.23,0:03:54,,292906,19088.5614,1174,3172878,6.72
xY7GpdMKlUY,!! تخايل معايا أش غيوقع,"Apr 29, 2021",579,54.51,0:05:15,,639488,56066.7648,1948,6104755,7.51
9MT1qY7pLcc,STORY TIME | 😂😂😂 لأول مرة SURF جربت,"Jun 26, 2022",922,55.48,0:08:39,,1252566,180632.4117,3478,13075488,5.7
w7Qvrrw4Hdg,وليت مشهور بسبب ماينكرافت,"Feb 26, 2017",272,,,,0,0,0,0,
HFE13EghZNM,أحسن فيلم قصير تقدر تشوفو فحياتك,"Sep 15, 2020",553,53.81,0:04:57,,1786120,147646.1163,35460,23894233,5.6
UpRZAFV2jyY,فاش كيقوليك فاليلة الدخلة ، حيدي ديك الشورط لكحل لي لابسة,"Jan 30, 2021",283,67.83,0:03:11,,501544,26744.8867,2479,3905994,8.77
WXEWC1WyoXU,VLOG : 😍 جمال المغرب,,1435,32.64,0:07:48,,21,2.7321,0,13,23.08
pyapyKNgRng,الحلقة 3 : السِّر اللّي مخبّى تحت الدار💀,"Jan 6, 2026",1096,50.1,0:09:09,,382314,58316.6506,690,3117886,8.02
G1LeKfQLuIY,"Moroccan vines - Sorry mom i can't do it , WTF","Feb 26, 2016",14,116.15,0:00:16,,3,0.0136,0,0,
pghdWlCQH2U,إحساس لمافيوزي,"Apr 10, 2020",788,49.02,0:06:26,,1173899,125960.167,18660,14707505,5.72
iptbS1_vUeM,"أحسن ASMR تقدر تشوفو فحياتك 😂🤦‍♂️, صوت الشعرية يابسة","Feb 7, 2023",934,39.7,0:06:12,,502000,51983.2701,1963,4278595,8.06
wuQJX3eF5jY,EMINEM DU MAROC | النسخة المغربية,"Dec 10, 2016",309,64.3,0:03:18,,2,0.1104,0,2,0
a65dDYzZrwc,سوق الميمز #4 : لا تحدثني عن الرجولة وانت لا تعرف يعقوب قمر الدين دبيازه 😂😂,"Jul 30, 2022",574,57.55,0:05:30,,628294,57646.3756,2118,7014646,6.29
G0bQDSFyX38,لعبة ديال الخلعة جابتلي النعاس (Five Nights at Freddy's),"May 12, 2017",417,,,,0,0,0,1,0
nHD9V98wgMk,VOICE GAME (Yasuhati),"Apr 3, 2017",542,,,,0,0,0,11,0
t_YgQPGh_g4, الحلقة 1 : كنت كنظن غير وهم… حتى ولات رعب💀,"Dec 20, 2025",563,58.56,0:05:29,,545207,49934.7027,1963,4532349,8.58
RqzCH0b57UI,أَخيراً لقِيت المَوْهِبة الضّائِعة ديَالِي 😂😂,"Apr 27, 2024",1167,40.74,0:07:55,,868841,114734.8109,2846,9928215,6.24
k-B9I3TJiaM,AGAR.IO MAROC FUNNY MOMENTS #1 + FACECAM / مشي رجلة هادي,"Sep 4, 2016",243,3.8,0:00:09,,1,0.0026,0,1,0
ZsULKXpfD9E,كنتحداك تصفي نيتك | THE IMPOSSIBLE QUIZ,"Jul 24, 2017",638,,,,0,0,0,31,0
5FcW0KCmr4g,عزيزي دافيد (الحلقة 2) : شنو كاين من مورا لباب ؟,"Mar 30, 2023",607,60.9,0:06:11,,502276,51854.0156,763,4413855,7.45
aF8Gi7d2Djw,ميمكنش مضحكش #30 : فاش كتفكر بالعزيزة الغالية ديالك 😂😂,,888,0.5,0:00:04,,1,0.0012,0,0,
iCWLZVHzTTg,08/09/2023,"Sep 14, 2023",594,36.32,0:03:35,,167752,10053.251,529,2902705,4.34
3xI7ywKvWS0,BAC & JIHAWI 2018 MOTIVATION,"May 21, 2018",432,,,,0,0,0,127,0
B1_EfGDjtrs,تمارين إزالة الدوالي ؟,"Jan 12, 2022",610,50.76,0:05:09,,545219,46896.6779,3182,4641074,7.89
FmP9DpIz1pc,SAD STORY !! قصة حزينة,"Oct 25, 2018",396,,,,0,0,0,174,0
sYx7nVtpPFo,Day 4 in japan,,226,1.57,0:00:03,,1,0.001,0,0,
y4Vpq_EpiFg,Temu,,208,9.18,0:00:19,,1,0.0053,0,0,
xFnYGHYl4DU,حوار مع خبير أمن المعلوماتيات إحساس,"Feb 19, 2021",584,45.9,0:04:28,,503154,37461.4387,2649,4832663,7
T9nMYnlTuNk,STORY TIME ❌ النميمة ✅,"Jun 12, 2025",691,53.4,0:06:09,,659033,67552.3574,2676,8265525,5.78
IIgyk4QnWWE,ميمكنش مضحكش #7 : مڭعده ها قداش أ كفاش,"Jun 21, 2021",634,52.06,0:06:06,,937235,95333.2121,12599,10059307,6.44
vvME70hYvbs,B E S T   V L O G,"Nov 9, 2017",1362,9.96,0:02:15,,113,4.2582,0,805,1.61
n8E6l14_QLY,زاهيا بانان مع المغاربة,"May 8, 2021",496,50.16,0:04:08,,337113,23296.0307,1219,3452158,6.81
CXwL6S0_zcY,TEMARA | تمارة,"Dec 6, 2022",478,50.15,0:03:59,,334014,22240.9774,695,2642529,9.04
BTEuivyMdwU,BAC 2020 ?,"Jul 9, 2020",643,52.64,0:05:38,,843914,79348.5245,8547,9226669,6.72
Gg1H1e0jiJg,إحساس و الأفلام القصيرة,"Apr 5, 2020",861,40.77,0:05:51,,1121187,109338.2141,22787,11799057,7.1
OkJ1FytpCFE,PLAY WITH BIMO (Gamee),"Jul 28, 2017",303,,,,0,0,0,0,
bg-htC6WdHY,20 FACTS :  🇯🇵 فقط في اليابان ( PART 2 ),"Oct 24, 2023",661,57.91,0:06:22,,311481,33119.5729,982,4845354,4.16
bdKbj2Jzi9A,DONT CLICK !! PLZ,"Jul 2, 2018",498,,,,0,0,0,0,
O88AKIy1Ck8,كفاش كنا كنطيحو تيتيز ف 2011 ؟؟,"Dec 7, 2019",414,59.69,0:04:07,,1130009,77567.6727,22713,15375387,5.55
fsEdBICTcW8,أغرب أسماء مغربية تقدر تسمعها فحياتك (بوبزازل),"May 5, 2017",438,,,,0,0,0,25,0
qEjPH61EdFo,قراءة تعليقاتكم : ناوي لحلال مع ختك,"Jan 18, 2020",605,44.55,0:04:29,,680258,50926.9251,6791,6743242,7.69
zKPuiNsDP1c,SUPERHOT LE JEUX ! | OK JE FRANCE BIEN,"Jul 17, 2016",661,6.51,0:00:43,,1,0.012,0,36,0
J4PPkfsPVgE,كَان عْندنَا كنْز فالدّار💀 | STORY TIME,"Oct 6, 2025",1016,49.88,0:08:26,,946562,133256.6508,3190,11182090,5.7
kT2Qx4LncGY,لي حصل مصخوط ، ولي داز مرضي الوالدين ؟,"Dec 11, 2021",482,52.47,0:04:12,,403332,28334.7188,1415,3753795,7.38
quCKUUM7DDM,OFPPT = LMSEMEN,"Dec 30, 2021",514,58.96,0:05:03,,578301,48684.964,2839,5935604,6.71
ZXlyqHz6Fwo,STORY TIME | سافرت لتركيا,"Feb 11, 2026",1117,49.57,0:10:33,,592488,104255.0606,1244,7715867,5.36
wjFQ0-Jnt7M,صنعو بشر ما كيموتوش,"Mar 10, 2026",655,56.63,0:06:10,,471362,48570.5554,1381,4625522,7.22
a9J5-kNxbNs,THANK YOUUUU 300 000 TIME,"May 1, 2020",486,56.79,0:04:36,,246682,18913.4127,3509,2877272,6.52
7CtO9QwLhq4,كلشي تزوج ، إلا أنا,"Nov 11, 2020",565,50.87,0:04:47,,540190,43128.4027,2879,4661081,8.14
z7kfDIQUFQM,قصص واقعية : ناس عاشت تجارب مع الجن ، واش بصح ؟,"Apr 11, 2022",385,60.08,0:04:00,,859957,57359.6094,3006,9358532,6.68
SFcb6zT4zpE,😂😂سوق الميمز #1 : فاش كيعطيك عمك تشرب لحليب ، و كتفكر بلي عمك معندوش البقر,"Apr 13, 2022",786,54.37,0:07:07,,440332,52269.0879,2501,4550450,6.84
sxjEqQTUb0A,MINECRAFT MAROC +18 | هادشي واعر (darija),"Oct 9, 2016",795,1.69,0:00:13,,1,0.0037,0,1,0
O8ihsdPM6Gs,👏🇲🇦❤ كأس العالم 2022 ، وصلنا لنصف النهائي,"Dec 15, 2022",505,57.77,0:04:55,,483580,39672.1352,1173,5784159,5.87
un_ba6iv2H8,...ميمكنش مضحكش #2 : نريد أن نرى كر,"Nov 27, 2020",780,51.49,0:06:41,,1401575,156374.5324,11783,16904935,5.35
UDElMTaHCZM,ها كفاش كندوز نهار ديالي VLOG #1,"Nov 6, 2016",535,98.14,0:08:45,,1,0.1458,0,1,0
MLNMHLMnIYw,محتاج الدعم ديالكم,"Aug 28, 2024",206,52.51,0:01:48,,221009,6640.2796,1431,2548629,5.94
qgWMCiWFV8I,FROM 0 TO HERO #1 : اكتشفت موهبة ضائعة 🤣,"Feb 23, 2026",549,38.88,0:03:33,,198232,11753.9844,1072,1740794,8.13
Sxlf6sENjdc,TIKTOK MAROC | لي فهم شي حاجة يفهمني,"Jul 9, 2022",704,55.77,0:06:32,,608036,66316.4676,2218,5839954,7.09
r38CIS6A-Iw,تحسينة جديدة = كارثة جديدة 🥲,"Aug 5, 2022",601,57.03,0:05:42,,399543,38036.6848,1117,4480893,6.5
FoXVAuxv3VQ,!! 😂😂😂ميمكنش مضحكش #20 : شدني لفورير,"Dec 3, 2021",498,60.43,0:05:00,,445663,37255.9882,1322,3988378,7.52
cA2nvipUR08,زونا... رجعات من القبر باش تفضح اللي قتلها,"Jul 24, 2025",703,56.77,0:06:39,,658566,73010.8612,2487,7639103,6.2
W8RS8kj9F-c,MAKE SOME TATTOOS WITH MY LITTLE SISTER | 10 SECOND TATTOO,"Jul 11, 2016",345,21.57,0:01:14,,3,0.062,0,36,0
5w_zDjGmyGw,أغرب 10 رياضات ⚽️ حول العالم 🤣,"May 26, 2024",731,60.21,0:07:20,,342642,41889.0955,1094,4174611,5.79
