Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
UUUXul7sf20,ميمكنش مضحكش #12 : البرنامج الإنتخابي الناجح ، ياربي نكون غا كنحلم ههههه,"Sep 2, 2021",526,59.6,0:05:48,,567586,54989.8804,2161,5610969,6.8
edftZyXKC_s,التداوي بالبندير ، كل ما كان عندك لفلوس كل ما كتعالج دغيا,"Aug 23, 2022",755,37.78,0:04:45,,345033,27339.2327,924,2967114,8.07
N1ebY4Lc634,KIFACH TIYE7 TITIZ,"Jul 26, 2020",711,53.09,0:06:17,,753500,79013.6745,4564,6361334,7.96
fp7N9UrGVzk,STORY TIME | لحوايج لي كنت كنلبس ف 2011,"Dec 1, 2021",487,62.41,0:05:00,,740520,61868.0313,2227,7356290,6.77
eV7hQEuQCfs,MEMES #1 : جاب الله كاين حَنَفِي😂,"Jul 13, 2023",626,55.29,0:05:46,,457260,43958.1831,1482,3759318,8.28
uHjDZbWFTUA,موهبة مغربية خطيرة فالرسم,"Feb 12, 2017",323,6.23,0:00:20,,6,0.0336,0,0,
NHYym7K5Xu0,الناس ديال الجزائر هاربين بزآآآآف,"Jun 2, 2020",602,47.75,0:04:47,,521942,41676.1087,4668,5259258,7.15
Vv-bFXUUdTo,ميمكنش مضحكش #15 : فاش كتبع نصائح عشيرك فلاصال,"Oct 2, 2021",613,59.72,0:06:06,,685540,69711.038,2810,5774061,8.19
-5jJo95oI5Q,ميمكنش مضحكش #19 : شكون فان ديال شكون ؟,"Nov 14, 2021",505,59.43,0:05:28,,693266,63289.5104,3817,6883607,6.99
 -DBQN07p6gw,أسئلة ثقافية #1 : شنو الجنسية ديال ... ؟,"Oct 30, 2021",573,50.64,0:04:50,,284340,22917.5667,339,2825311,6.87
asfgSVGv3JY,!! 😂😂😂 ميمكنش مضحكش #25 : أمرابط في كل مكان,"Dec 10, 2022",682,57.07,0:06:29,,651843,70477.2724,2613,6284695,7.34
